total_price,unit_price
179,20788
70,9170
93.8,14512
73,9169
197,19290
73,8147
67,13400
77,10685
136,30344
93,11857
330,37706
32.5,7294
47,13643
99,19856
115,13449
53,9785
46.5,11334
122,12390
130,13542
57.9,17294
94,21861
89.8,17685
142,15019
41,11885
86,8107
44,13403
132,9113
147,18035
40,10696
165,26228
44,7334
110,12427
36.5,10903
39.5,6135
51,9059
179.8,21541
48,10040
87,15990
80.6,13064
60.8,11055
126,30000
46,8847
37,9130
295,20785
86,16450
60.8,14466
102.5,17201
52,11776
131,15864
121,15797
92,14660
125,16781
129,14269
84,10123
80,9422
144.8,10056
111.5,12389
58.8,12895
235,25346
132,21675
95,13632
44.5,9753
118,18107
124,21618
41,10830
85,13077
135,14507
230,22116
126,13405
68,11481
142,15330
32.5,6674
150,25979
64,7615
78,8748
47,14959
66,11380
58.5,14811
227,25749
75,13049
64,10393
52,8114
58.5,6429
168,14566
138,13906
119,16371
126.5,13650
155,20091
68,8889
131,13173
39,8792
44.8,9635
108,20572
105,13637
85,11310
74,9611
64,11284
233,31788
73.5,19399
188,32297
139,16501
67,17101
167,18618
125.5,18825
77,12981
65,12902
57,13393
118,13087
87.5,9474
128,20719
65.8,12290
66.8,12999
84.2,16857
116,10266
55,10810
79.5,25530
75,20459
89.9,16181
83,13591
117,15000
81,14380
43,8432
129,19755
76,11809
46,7598
38,13104
249,25021
47.3,13309
79,15567
46.5,8533
50,16277
59.8,14950
66,15364
138,19231
68,11557
399,28945
52.3,13251
54.8,12455
96.8,22512
110,12791
75.5,13607
68,9734
105,14263
112,20364
146,28251
89,12918
93,12318
72,8622
80,10029
41.7,9934
74,12160
63.5,12247
83.5,24154
43,8396
112,18112
142,17202
182,25897
113,24770
94,16207
59,4470
59.5,11091
66,15349
149.6,15905
63.7,13559
122,24400
72,19918
63,14161
43,5353
145,16119
52,7787
136,17405
39,7835
58,7389
52,5443
74,14297
54,10818
62,12559
46,8781
172,20612
79,14248
123.5,15950
68,12565
119,15513
39,9333
90,24404
185,23673
103,14306
73,12803
119.5,12822
120,16751
170,12805
118,13682
116,19334
72,9945
78,18060
130,14413
73.8,13104
34,5832
93.8,14213
130,29708
62.9,14835
55.8,12453
67.5,10045
92,17130
88.5,14424
75,23235
100,14853
63.9,12656
102,20984
74,9491
131.8,13032
89.2,19008
76,16171
220,24459
72,18712
43,15009
82,14529
79,8493
83,11259
149.8,15811
168,14860
370,30834
115,9203
69.8,15501
166,21517
138,17255
59,9840
130,28157
28.8,8494
45,9571
32.5,8125
43,8931
78,10911
64.8,11939
132,13637
123,15345
160.8,20106
67.8,15659
90,10210
93,15147
63.9,11065
65,12887
50,12423
89.9,14590
86,11269
56,11200
87.5,14023
72,12191
128,18281
178,21204
95,13385
123,18036
50,12368
68.8,11558
68,13519
58,12549
155,21528
160,27711
345,13869
165,20595
195,21238
86.9,12951
83,16368
49,13294
50.8,16272
126,15754
72.8,14203
67,12794
75,16877
54.9,13348
62,9831
79,12344
65,9791
55.5,10532
165,21387
77,16408
178,20984
46,6089
74.2,10028
76.9,13911
79.5,20422
38,4961
79.5,13674
