sid,¾­¶È,Î³¶È
53578,39.36666666666781,112.43333333333099
53579,39.016666666666,112.90000000000107
53588,38.9499999999981,113.51666666666391
53593,39.83333333333183,114.56666666666868
53594,39.449999999998084,114.18333333333126
53602,38.833333333331915,105.66719095887134
53612,37.98333333333391,106.18333333332994
53614,38.46666666666419,106.20000000000572
53615,38.8000000000019,106.70000000000576
53646,38.26666666666607,109.78333333333013
53651,38.8166666666659,110.45389723873232
53663,38.91666666666809,111.81666666666911
53664,38.46666666666419,111.1333333333366
53673,38.733333333333974,112.71666666667
53687,37.78333333333573,113.63333333333712
53698,38.053897238726954,114.37553885587644
53704,37.5333333333357,105.18333333332976
53705,37.48333333333387,105.68333333332986
53723,37.80000000000187,107.38333333333576
53725,37.58333333333203,107.58333333333371
53735,37.616666666667776,108.79999999999414
53738,36.91666666666791,108.1666666666664
53740,37.9333333333341,109.23333333333603
53754,37.5,110.2166666666699
53764,37.5,111.0999999999993
53772,37.68051380636244,112.57056390539537
53775,37.42517767680491,112.56595595945265
53787,37.06666666666591,112.98333333333608
53798,37.108872189211176,114.45176511708682
53806,36.56666666666592,105.64999999999952
53810,36.966666666664366,105.89999999999958
53817,36.0,106.26666666666398
53821,36.568082255620816,107.29999999999421
53845,36.58971804730129,109.46915414191507
53853,36.699999999998155,110.95000000000599
53854,36.58333333333213,110.06666666666939
53859,36.10000000000148,110.66666666666684
53863,37.04539205405985,111.92872538739653
53868,36.06666666666592,111.5
53877,36.16666666666783,112.25
53882,36.05815565653028,113.0503553536033
53884,36.516666666666225,113.03333333333
53898,36.05000000000182,114.26950949551762
53903,35.966666666664494,105.71666666666968
53910,35.66666666666778,106.20000000000572
53915,35.54822905744134,106.66666666666613
53923,35.7333333333337,107.63333333333581
53929,35.199999999998205,107.79999999999417
53942,35.785820808574414,109.44859023651331
53948,34.94999999999821,109.58333333333334
53955,35.46666666666456,110.45000000000597
53959,35.07411744145548,111.05602936036155
53963,35.64999999999858,111.36666666666335
53968,35.28333333333542,111.66666666666703
53975,35.483333333333675,112.40000000000096
53986,35.31666666666592,113.88333333333718
54012,44.566666666665874,117.63333333333792
54026,44.566666666665874,120.90000000000254
54027,43.98333333333436,119.40000000000227
54041,44.800000000002036,123.06666666666746
54049,44.25,123.96666666667038
54063,44.96666666666357,126.0
54064,44.383333333332104,125.15000000000322
54094,44.53404404054495,129.63262262612693
54096,44.38368868693798,131.16702202027574
54102,43.949999999997985,116.11666666666237
54115,43.620563905392856,118.04610276126726
54134,43.600000000002225,121.28333333332971
54135,43.600000000002225,122.26666666666384
54142,43.5,123.53333333332962
54157,43.15495747407775,124.34504252593194
54161,43.89999999999775,125.21666666667042
54165,43.55000000000201,125.63333333333935
54171,43.69999999999799,126.51666666666381
54181,43.69999999999799,127.33333333333063
54186,43.36666666666788,128.20000000000672
54195,43.30000000000201,129.78333333332944
54208,42.191320051263055,116.46666666667014
54213,42.93333333333412,119.01666666666387
54218,42.295747407668316,118.84609111033295
54226,42.33333333333163,120.70000000000643
